08:33:48.903 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, user.dir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, localrepository=/Users/juan.fonseca/.m2/repository}
08:52:29.451 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, user.dir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, localrepository=/Users/juan.fonseca/.m2/repository}
08:54:02.421 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, user.dir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, localrepository=/Users/juan.fonseca/.m2/repository}
08:55:18.263 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, user.dir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, localrepository=/Users/juan.fonseca/.m2/repository}
08:56:49.303 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, user.dir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, localrepository=/Users/juan.fonseca/.m2/repository}
08:58:02.208 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, user.dir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, localrepository=/Users/juan.fonseca/.m2/repository}
08:58:55.445 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, user.dir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, localrepository=/Users/juan.fonseca/.m2/repository}
09:00:09.585 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, user.dir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, localrepository=/Users/juan.fonseca/.m2/repository}
14:24:51.151 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, user.dir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, localrepository=/Users/juan.fonseca/.m2/repository}
14:25:13.165 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, user.dir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, localrepository=/Users/juan.fonseca/.m2/repository}
15:14:00.654 [main] DEBUG c.b.config.BrowserStackConfig - Cli Config passed - {basedir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, user.dir=/Users/juan.fonseca/Repositories/SelfHealingLocatorsDemo/java/testng, localrepository=/Users/juan.fonseca/.m2/repository}
